Organisation Name,Identifying Details,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
QANTAS AIRWAYS LIMITED,16 009 661 901,"4,315,195","135,823","64,071,542",-
QCOAL PTY LTD,99 010 911 234,"345,232","32,254","2,488,287",-
QENOS HOLDINGS PTY LTD,62 086 026 968,"848,576","163,136","32,761,444",-
QGC MIDSTREAM INVESTMENTS PTY LTD,77 130 857 215,"1,572,870",0,"29,311,137",-
QGC UPSTREAM INVESTMENTS PTY LTD,86 131 104 651,"1,405,332","2,291,935","28,868,371",-
QIC LIMITED,95 942 373 762,"8,414","119,740","559,787",-
QS MAPS HOLDINGS NO. 3 PTY LTD,38 163 278 500,"58,739",362,"898,690",-
QUADRANT ENERGY AUSTRALIA LIMITED,39 009 301 964,"558,779",585,"11,228,874",-
QUBE HOLDINGS LIMITED,14 149 723 053,"306,393","19,159","4,453,209",-
QUEENSLAND ALUMINA LIMITED,98 009 725 044,"3,384,495","584,951","43,506,039",-
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED,82 078 849 233,"16,137","1,172,193","5,371,981",-
QUEENSLAND NITRATES PTY LTD,63 079 889 268,"153,957","51,022","2,881,127",-
QUEENSLAND RAIL,68 598 268 528,"40,974","224,048","1,611,257",-
R.G. WITHERS NOMINEES PTY. LTD.,005 620 860,676,"128,609","524,125",-
RAMELIUS RESOURCES LIMITED,51 001 717 540,"104,963","42,840","1,847,395",-
RAMSAY HEALTH CARE LIMITED,57 001 288 768,"16,245","156,349","990,547",-
RATCH - AUSTRALIA CORPORATION PTY LTD,31 106 617 332,"162,349","6,043","2,173,050",-
RCI HOLDINGS PTY LTD,55 101 671 121,"34,580","63,974","757,812",-
REGIONAL EXPRESS HOLDINGS LIMITED,18 099 547 270,"110,383","1,346","1,578,557",-
REGIONAL POWER CORPORATION,57 955 011 697,"38,799","32,504","676,445",-
REGIS RESOURCES LIMITED,28 009 174 761,"209,963",0,"2,988,055",-
REMONDIS AUSTRALIA PTY LTD,95 002 429 781,"221,644","3,022","545,095",-
RESOLUTE MINING LIMITED,39 097 088 689,"22,446","59,276","597,060",-
RESOURCECO HOLDINGS PTY LTD,64 107 343 288,"58,125",867,"261,111",-
RICEGROWERS LIMITED,55 007 481 156,"9,330","75,217","487,956",-
RIDLEY CORPORATION LIMITED,33 006 708 765,"53,045","65,551","1,306,143",-
RIO TINTO LIMITED,96 004 458 404,"8,180,790","7,761,679","146,334,490",-
RIO TINTO SHIPPING (ASIA) PTE LTD,71 242 047 864,"119,029",0,"1,614,003",-
RITCHIES STORES PROPRIETARY LIMITED,61 005 041 814,"25,451","72,057","283,717",-
RIVALEA HOLDINGS PTY LIMITED,37 097 393 112,"28,825","30,527","414,589",-
ROMALY HOLDINGS PTY LTD,82 001 094 837,"59,989",315,"852,789",-
RON FINEMORE TRANSPORT PTY. LTD.,30 106 495 087,"74,915",472,"1,066,498",-
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY,49 781 030 034,"14,790","43,257","428,683",-
RTA HOLDCO AUSTRALIA 1 PTY LTD,17 128 762 318,"128,172",0,"1,561,181",-
SANDFIRE RESOURCES NL,55 105 154 185,"84,902",129,"1,284,897",-
SANTOS LIMITED,80 007 550 923,"5,393,793","391,261","61,750,933",-
SARACEN MINERAL HOLDINGS LIMITED,52 009 215 347,"187,170",65,"3,015,390",-
SCENTRE GROUP LIMITED,66 001 671 496,"14,024","266,448","1,260,074",-
SEAROAD HOLDINGS PTY LTD,16 123 749 655,"60,899",995,"860,151",-
SGSP (AUSTRALIA) ASSETS PTY LTD,60 126 327 624,"591,851","319,955","5,708,755",-
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,69 054 260 776,"253,656","1,627","3,696,551",-
SIBELCO ASIA PACIFIC PTY LTD,70 092 916 811,"444,677","163,346","3,152,203",-
SILICON METAL COMPANY OF AUSTRALIA PTY LTD,73 009 401 736,"103,948","426,086","5,151,061",-
SILVER LAKE RESOURCES LIMITED,38 108 779 782,"61,123","21,041","984,559",-
SIMEC (AUSTRALIA) MINING PTY LTD,33 623 121 504,"1,395,857","81,998","1,127,836",-
SIMPLOT AUSTRALIA (HOLDINGS) PTY LIMITED,23 070 571 934,"68,826","47,944","1,577,884",-
SIMS METAL MANAGEMENT LIMITED,69 114 838 630,"26,048","34,195","520,131",-
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED,69 096 686 190,"2,152","399,532","1,705,213",-
SNOWY HYDRO LIMITED,17 090 574 431,"141,171","231,201","2,984,157",-
SOJITZ COAL RESOURCES PTY LIMITED,34 063 050 680,"79,524",25,"1,155,014",-
SOLSTADFARSTAD PTY LTD,40 105 011 989,"106,039",22,"1,505,339",-
SONIC HEALTHCARE LIMITED,24 004 196 909,"8,223","58,322","387,013",-
SOUTH AUSTRALIAN WATER CORPORATION,69 336 525 019,"79,608","159,482","2,053,688",-
SOUTH METROPOLITAN HEALTH SERVICE,92 264 056 442,"7,875","45,081","383,928",-
SOUTH32 LIMITED,84 093 732 597,"6,455,570","439,216","61,238,851",-
ST BARBARA LIMITED,36 009 165 066,"63,509","1,497","1,137,925",-
ST JOHN OF GOD HEALTH CARE INC,21 930 207 958,"14,083","62,793","537,040",-
ST VINCENT'S HEALTH AUSTRALIA LTD,75 073 503 536,"14,187","94,210","627,028",-
STANMORE COAL LIMITED,27 131 920 968,"69,028","21,892","650,979",-
STANWELL CORPORATION LIMITED,37 078 848 674,"18,416,635","52,137","135,774,735",-
STATE TRANSIT AUTHORITY OF NSW,51 750 635 629,"141,046","6,339","2,223,329",-
STOCKLAND CORPORATION LTD,43 000 181 733,"25,452","82,999","704,279",-
SUEZ AUSTRALIA HOLDING PTY LTD,30 070 452 890,"685,158","62,003","2,112,518",-
SUN METALS HOLDINGS LIMITED,30 051 538 580,"5,915","704,061","3,293,433",-
SUNSET POWER INTERNATIONAL PTY LTD,75 162 696 335,"6,966,897","48,786","51,285,817",-
SUNWATER LIMITED,17 020 276 523,"3,665","146,212","717,553",-
SUPER RETAIL GROUP LIMITED,81 108 676 204,889,"76,798","348,327",-
SVITZER AUSTRALASIA SERVICES PTY LIMITED,18 120 555 375,"59,725","2,569","858,362",-
SYDNEY AIRPORT LIMITED,18 165 056 360,"5,569","81,347","447,635",-
SYDNEY TRAINS,38 284 779 682,"9,825","532,971","2,442,784",-
SYDNEY WATER CORPORATION,49 776 225 038,"48,401","294,747","2,372,576",-
TASMANIAN NETWORKS PTY LTD,24 167 357 299,"7,405","79,006","2,094,265",-
TECHNICAL AND FURTHER EDUCATION COMMISSION,89 755 348 137,"7,232","72,480","445,523",-
TELSTRA CORPORATION LIMITED,33 051 775 556,"55,122","1,205,836","5,989,850",-
TERRACOM LIMITED,35 143 533 537,"43,097","14,283","234,535",-
TEYS AUSTRALIA PTY LTD,38 009 872 600,"106,746","102,517","1,542,659",-
THALES AUSTRALIA HOLDINGS PTY LTD,84 058 583 841,"38,556","47,001","506,952",-
THE STAR ENTERTAINMENT GROUP LIMITED,85 149 629 023,"10,741","95,167","627,619",-
THE TRUSTEE FOR COSTA'S UNIT TRUST,72 534 822 931,"55,568","68,039","984,124",-
THE TRUSTEE FOR THE MADDINGLEY MINE TRUST,63 604 564 597,"96,665",251,"428,454",-
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (NSW),77 005 284 605,"5,204","47,654","293,005",-
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.),25 548 385 225,"12,812","75,798","544,442",-
THE UNIVERSITY OF QUEENSLAND,63 942 912 684,"1,970","107,598","547,279",-
THOMAS FOODS INTERNATIONAL CONSOLIDATED PTY LIMITED,20 105 099 849,"20,709","30,909","517,120",-
TOGA PTY. LTD.,27 000 926 947,"6,454","51,502","350,038",-
TOLL HOLDINGS LIMITED,25 006 592 089,"476,627","65,677","7,007,122",-
TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED,64 009 686 097,"24,750","38,677","590,346",-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,40 062 135 844,"954,888",64,"12,580,818",-
TRANSDEV AUSTRALASIA PTY LTD,40 079 303 816,"119,880","8,324","1,815,999",-
TRANSIT SYSTEMS PTY LTD,34 135 200 609,"79,431","2,025","1,227,117",-
TRANSURBAN HOLDINGS LIMITED,86 098 143 429,"2,081","81,819","362,613",-
TRILITY GROUP PTY LTD,39 144 522 565,"13,588","74,059","560,967",-
TRONOX MANAGEMENT PTY LTD,59 009 343 364,"564,894","105,744","10,051,827",-
TT-LINE COMPANY PTY. LTD.,39 061 996 174,"163,233",845,"2,213,840",-
TWENTIETH SUPER PACE NOMINEES PTY. LTD.,16 005 855 327,"126,617","6,246","1,828,288",-
UNIVERSITY OF MELBOURNE,84 002 705 224,"15,326","130,646","736,285",-
UNIVERSITY OF NEW SOUTH WALES,57 195 873 179,"6,708","75,444","449,427",-
UNIVERSITY OF SYDNEY,15 211 513 464,"7,227","94,040","544,534",-
USG BORAL BUILDING PRODUCTS PTY LIMITED,84 004 231 976,"86,874","44,744","1,897,841",-
V/LINE CORPORATION,91 273 289 190,"121,409","16,142","1,777,783",-
VENTIA SERVICES GROUP PTY LIMITED,53 603 253 541,"26,576","36,138","542,063",-
VENTURA MOTORS PROPRIETARY LIMITED,67 004 235 518,"51,883","3,106","752,551",-
VEOLIA WATER AUSTRALIA PTY LTD,99 061 161 279,"64,623","118,641","1,456,488",-
VERMILION OIL & GAS AUSTRALIA PTY LTD,29 113 023 591,"60,859",137,"800,820",-
VICINITY LIMITED,90 114 757 783,"4,536","186,794","830,434",-
VICTORIA POWER NETWORKS PTY LTD,37 116 940 820,"25,038","1,015,058","3,686,191",-
VILLAGE ROADSHOW LIMITED,43 010 672 054,"3,764","58,655","312,028",-
VIRGIN AUSTRALIA HOLDINGS LIMITED,54 100 686 226,"2,695,280","19,261","38,477,910",-
VIVA ENERGY AUSTRALIA GROUP PTY LTD,60 004 400 220,"1,063,266","330,936","15,949,041",-
VODAFONE HUTCHISON AUSTRALIA PTY LIMITED,76 096 304 620,37,"178,686","784,572",-
WA COUNTRY HEALTH SERVICE,28 680 145 816,"8,361","43,209","356,105",-
WAGGA WAGGA CITY COUNCIL,56 044 159 537,"63,177",51,"3,932",-
WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,49 000 002 728,"141,552","35,702","1,835,309",-
WASTE ASSETS MANAGEMENT CORPORATION,56 784 733 957,"282,006","1,192","15,004",-
WATER CORPORATION,28 003 434 917,"71,848","708,822","4,088,110",-
WESFARMERS LIMITED,28 008 984 049,"1,054,389","2,090,024","22,866,700",-
WESTERN AREAS LIMITED,68 091 049 357,"15,373","41,876","442,504",-
WESTGOLD RESOURCES LIMITED,60 009 260 306,"145,639","11,052","2,215,876",-
WESTPAC BANKING CORPORATION,33 007 457 141,"6,601","114,669","584,572",-
WHITEHAVEN COAL LIMITED,68 124 425 396,"1,342,698","98,399","5,937,151",-
WILMAR AUSTRALIA HOLDINGS PTY LIMITED,79 144 972 743,"166,899","50,443","48,870,134",-
WINDFIELD HOLDINGS PTY LTD,60 160 456 164,"27,130","46,060","629,967",-
WOLLONGONG COAL LIMITED,28 111 244 896,"60,355","22,103","105,268",-
WOODSIDE PETROLEUM LTD.,55 004 898 962,"9,969,591","7,117","155,905,420",-
WOOLWORTHS GROUP LIMITED,88 000 014 675,"560,890","2,204,937","10,296,873",-
WRIGLEY UNO 2 AUSTRALIA PTY. LIMITED,68 133 509 930,"32,910","81,652","917,940",-
YANCOAL AUSTRALIA LIMITED,82 111 859 119,"2,370,857","471,106","17,278,192",-
YARA AUSTRALIA PTY LTD,77 076 301 221,"1,542,066","19,731","30,786,106",-
